brakingPressure, currentGear, distanceCounter, electronicStabilityProgram, engineSpeed, fuelConsumption, gearSelection, lapDistance, laptime, lateralAcceleration, longitudinalAcceleration, longitudinalSlipRR, longitudinalSlipRL, longitudinalSlipFR, longitudinalSlipFL, pedalForce, sectorDistance, sectorTime, speed, steeringWheelAngle, timestamp, tirePressureFR, tirePressureFL, tirePressureRR, tirePressureRL, tripDistance, wpoCharismaDamper, wpoCharismaMotor, wpoCharismaTransmission, wpoOversteer, wpoUndersteer, latitude, longitude, yawVelocity
0.0, 3, 0.000, , 4000, 0.0, , 12.8, 319, 0.900, 0.000, 0.0, 0.0, 0.0, 0.0, 0.50, , , 40.000, 30.00, 1780000000000, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562711495, -79.200142673, 0.0
0.0, 4, 4.000, , 4126, 0.0, , 16.8, 419, 0.898, -0.038, 0.0, 0.0, 0.0, 0.0, 0.53, , , 40.000, 29.94, 1780000000100, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562709715, -79.200187353, 0.0
0.0, 4, 8.000, , 4251, 0.0, , 20.8, 519, 0.893, -0.075, 0.0, 0.0, 0.0, 0.0, 0.56, , , 40.000, 29.76, 1780000000200, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562707454, -79.200232000, 0.0
0.0, 4, 12.000, , 4375, 0.0, , 24.8, 619, 0.884, -0.112, 0.0, 0.0, 0.0, 0.0, 0.59, , , 40.000, 29.47, 1780000000300, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562704711, -79.200276606, 0.0
0.0, 4, 16.000, , 4497, 0.0, , 28.8, 719, 0.872, -0.149, 0.0, 0.0, 0.0, 0.0, 0.62, , , 40.000, 29.06, 1780000000400, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562701487, -79.200321163, 0.0
0.0, 4, 20.000, , 4618, 0.0, , 32.8, 819, 0.856, -0.185, 0.0, 0.0, 0.0, 0.0, 0.65, , , 40.000, 28.53, 1780000000500, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562697783, -79.200365662, 0.0
0.0, 4, 24.000, , 4736, 0.0, , 36.8, 919, 0.837, -0.221, 0.0, 0.0, 0.0, 0.0, 0.68, , , 40.000, 27.89, 1780000000600, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562693600, -79.200410097, 0.0
0.0, 4, 28.000, , 4852, 0.0, , 40.8, 1019, 0.814, -0.255, 0.0, 0.0, 0.0, 0.0, 0.71, , , 40.000, 27.14, 1780000000700, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562688937, -79.200454458, 0.0
0.0, 4, 32.000, , 4964, 0.0, , 44.8, 1119, 0.789, -0.289, 0.0, 0.0, 0.0, 0.0, 0.74, , , 40.000, 26.29, 1780000000800, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562683797, -79.200498739, 0.0
0.0, 4, 36.000, , 5072, 0.0, , 48.8, 1219, 0.760, -0.321, 0.0, 0.0, 0.0, 0.0, 0.77, , , 40.000, 25.33, 1780000000900, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562678180, -79.200542931, 0.0
0.0, 4, 40.000, , 5176, 0.0, , 52.8, 1319, 0.728, -0.353, 0.0, 0.0, 0.0, 0.0, 0.79, , , 40.000, 24.27, 1780000001000, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562672086, -79.200587026, 0.0
0.0, 4, 44.000, , 5275, 0.0, , 56.8, 1419, 0.693, -0.382, 0.0, 0.0, 0.0, 0.0, 0.82, , , 40.000, 23.12, 1780000001100, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562665517, -79.200631018, 0.0
0.0, 4, 48.000, , 5369, 0.0, , 60.8, 1519, 0.656, -0.411, 0.0, 0.0, 0.0, 0.0, 0.84, , , 40.000, 21.87, 1780000001200, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562658475, -79.200674897, 0.0
0.0, 4, 52.000, , 5458, 0.0, , 64.8, 1619, 0.616, -0.437, 0.0, 0.0, 0.0, 0.0, 0.86, , , 40.000, 20.54, 1780000001300, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562650960, -79.200718656, 0.0
0.0, 4, 56.000, , 5541, 0.0, , 68.8, 1719, 0.574, -0.462, 0.0, 0.0, 0.0, 0.0, 0.89, , , 40.000, 19.12, 1780000001400, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562642973, -79.200762287, 0.0
0.0, 4, 60.000, , 5618, 0.0, , 72.8, 1819, 0.529, -0.485, 0.0, 0.0, 0.0, 0.0, 0.90, , , 40.000, 17.63, 1780000001500, 3276.8, 2.1, 3276.8, 3276.8, 0, , , , 0.0, 0.0, 36.562634517, -79.200805783, 0.0
